Date;Open*;High;Low;Close**;Volume;Market Cap
Nov 20, 2020;€ 1.39;€ 1.49;€ 1.34;€ 1.44;€1,381,258;€81,040,884
Nov 19, 2020;€ 1.24;€ 1.44;€ 1.23;€ 1.39;€1,899,804;€78,134,615
Nov 18, 2020;€ 1.20;€ 1.26;€ 1.08;€ 1.24;€1,358,648;€69,334,307
Nov 17, 2020;€ 1.08;€ 1.24;€ 1.08;€ 1.20;€1,393,246;€67,161,167
Nov 16, 2020;€ 0.98;€ 1.05;€ 0.96;€ 1.04;€572,150;€58,105,166
Nov 15, 2020;€ 0.98;€ 1.08;€ 0.95;€ 0.98;€839,791;€54,612,610
Nov 14, 2020;€ 0.96;€ 1.01;€ 0.88;€ 0.98;€663,355;€54,170,826
Nov 13, 2020;€ 0.88;€ 0.96;€ 0.88;€ 0.96;€304,174;€53,141,668
Nov 12, 2020;€ 0.91;€ 0.92;€ 0.84;€ 0.88;€283,425;€48,796,263
Nov 11, 2020;€ 0.97;€ 1.01;€ 0.89;€ 0.90;€267,701;€49,861,791
Nov 10, 2020;€ 0.91;€ 0.98;€ 0.90;€ 0.97;€228,330;€53,157,538
Nov 09, 2020;€ 1.00;€ 1.00;€ 0.88;€ 0.91;€196,569;€49,627,735
Nov 08, 2020;€ 0.85;€ 1.04;€ 0.83;€ 1.00;€579,885;€54,886,995
Nov 07, 2020;€ 0.89;€ 1.04;€ 0.82;€ 0.85;€711,355;€46,231,071
Nov 06, 2020;€ 0.75;€ 0.90;€ 0.75;€ 0.89;€485,933;€48,585,577
Nov 05, 2020;€ 0.65;€ 0.77;€ 0.65;€ 0.75;€492,083;€40,705,492
Nov 04, 2020;€ 0.62;€ 0.66;€ 0.58;€ 0.65;€229,268;€35,052,776
Nov 03, 2020;€ 0.67;€ 0.67;€ 0.62;€ 0.63;€421,656;€33,679,423
Nov 02, 2020;€ 0.68;€ 0.71;€ 0.66;€ 0.66;€679,625;€35,189,016
Nov 01, 2020;€ 0.71;€ 0.75;€ 0.67;€ 0.68;€153,083;€35,987,234
Oct 31, 2020;€ 0.72;€ 0.72;€ 0.69;€ 0.71;€169,456;€37,204,420
Oct 30, 2020;€ 0.75;€ 0.77;€ 0.70;€ 0.72;€418,420;€37,591,401
Oct 29, 2020;€ 0.84;€ 0.85;€ 0.73;€ 0.75;€553,557;€39,204,370
Oct 28, 2020;€ 0.91;€ 0.93;€ 0.82;€ 0.84;€318,528;€43,752,236
